2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:39:43,640 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:43,837 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:44,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:44,365 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:44,574 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:45,019 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:45,702 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,250 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,622 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,786 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:46,979 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:47,175 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:47,366 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:47,492 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:47,625 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:47,750 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:48,088 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:48,295 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:48,474 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:48,824 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:49,163 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:49,378 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:49,501 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:49,739 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:49,910 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:50,073 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:50,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:50,464 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:50,656 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:51,015 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:51,190 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:51,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:51,859 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:52,163 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:52,551 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:52,733 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:52,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
